5	Draft	J2EE Misconfiguration: Data Transmission Without Encryption	0	
6	Incomplete	J2EE Misconfiguration: Insufficient Session-ID Length	0	
7	Incomplete	J2EE Misconfiguration: Missing Custom Error Page	0	
8	Incomplete	J2EE Misconfiguration: Entity Bean Declared Remote	0	
9	Draft	J2EE Misconfiguration: Weak Access Permissions for EJB Methods	0	
11	Draft	ASP.NET Misconfiguration: Creating Debug Binary	0	
12	Draft	ASP.NET Misconfiguration: Missing Custom Error Page	0	
13	Draft	ASP.NET Misconfiguration: Password in Configuration File	0	
14	Draft	Compiler Removal of Code to Clear Buffers	0	
15	Incomplete	External Control of System or Configuration Setting	0	
20	Stable	Improper Input Validation	0	
22	Stable	Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')	0	
23	Draft	Relative Path Traversal	0	
24	Incomplete	Path Traversal: '../filedir'	0	
25	Incomplete	Path Traversal: '/../filedir'	0	
26	Draft	Path Traversal: '/dir/../filename'	0	
27	Draft	Path Traversal: 'dir/../../filename'	0	
28	Incomplete	Path Traversal: '..\filedir'	0	
29	Incomplete	Path Traversal: '\..\filename'	0	
30	Draft	Path Traversal: '\dir\..\filename'	0	
31	Draft	Path Traversal: 'dir\..\..\filename'	0	
32	Incomplete	Path Traversal: '...' (Triple Dot)	0	
33	Incomplete	Path Traversal: '....' (Multiple Dot)	0	
34	Incomplete	Path Traversal: '....//'	0	
35	Incomplete	Path Traversal: '.../...//'	0	
36	Draft	Absolute Path Traversal	0	
37	Draft	Path Traversal: '/absolute/pathname/here'	0	
38	Draft	Path Traversal: '\absolute\pathname\here'	0	
39	Draft	Path Traversal: 'C:dirname'	0	
40	Draft	Path Traversal: '\\UNC\share\name\' (Windows UNC Share)	0	
41	Incomplete	Improper Resolution of Path Equivalence	0	
42	Incomplete	Path Equivalence: 'filename.' (Trailing Dot)	0	
43	Incomplete	Path Equivalence: 'filename....' (Multiple Trailing Dot)	0	
44	Incomplete	Path Equivalence: 'file.name' (Internal Dot)	0	
45	Incomplete	Path Equivalence: 'file...name' (Multiple Internal Dot)	0	
46	Incomplete	Path Equivalence: 'filename ' (Trailing Space)	0	
47	Incomplete	Path Equivalence: ' filename' (Leading Space)	0	
48	Incomplete	Path Equivalence: 'file name' (Internal Whitespace)	0	
49	Incomplete	Path Equivalence: 'filename/' (Trailing Slash)	0	
50	Incomplete	Path Equivalence: '//multiple/leading/slash'	0	
51	Incomplete	Path Equivalence: '/multiple//internal/slash'	0	
52	Incomplete	Path Equivalence: '/multiple/trailing/slash//'	0	
53	Incomplete	Path Equivalence: '\multiple\\internal\backslash'	0	
54	Incomplete	Path Equivalence: 'filedir\' (Trailing Backslash)	0	
55	Incomplete	Path Equivalence: '/./' (Single Dot Directory)	0	
56	Incomplete	Path Equivalence: 'filedir*' (Wildcard)	0	
57	Incomplete	Path Equivalence: 'fakedir/../realdir/filename'	0	
58	Incomplete	Path Equivalence: Windows 8.3 Filename	0	
59	Draft	Improper Link Resolution Before File Access ('Link Following')	0	
61	Incomplete	UNIX Symbolic Link (Symlink) Following	0	
62	Incomplete	UNIX Hard Link	0	
64	Incomplete	Windows Shortcut Following (.LNK)	0	
65	Incomplete	Windows Hard Link	0	
66	Draft	Improper Handling of File Names that Identify Virtual Resources	0	
67	Incomplete	Improper Handling of Windows Device Names	0	
69	Incomplete	Improper Handling of Windows ::DATA Alternate Data Stream	0	
71	Deprecated	DEPRECATED: Apple '.DS_Store'	0	
72	Incomplete	Improper Handling of Apple HFS+ Alternate Data Stream Path	0	
73	Draft	External Control of File Name or Path	0	
74	Incomplete	Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')	0	
75	Draft	Failure to Sanitize Special Elements into a Different Plane (Special Element Injection)	0	
