5	Draft	J2EE Misconfiguration: Data Transmission Without Encryption	1	Allowed
6	Incomplete	J2EE Misconfiguration: Insufficient Session-ID Length	1	Allowed
7	Incomplete	J2EE Misconfiguration: Missing Custom Error Page	1	Allowed
8	Incomplete	J2EE Misconfiguration: Entity Bean Declared Remote	1	Allowed
9	Draft	J2EE Misconfiguration: Weak Access Permissions for EJB Methods	1	Allowed
11	Draft	ASP.NET Misconfiguration: Creating Debug Binary	1	Allowed
12	Draft	ASP.NET Misconfiguration: Missing Custom Error Page	1	Allowed
13	Draft	ASP.NET Misconfiguration: Password in Configuration File	1	Allowed
14	Draft	Compiler Removal of Code to Clear Buffers	1	Allowed
15	Incomplete	External Control of System or Configuration Setting	1	Allowed
20	Stable	Improper Input Validation	1	Discouraged
22	Stable	Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')	1	Allowed
23	Draft	Relative Path Traversal	1	Allowed
24	Incomplete	Path Traversal: '../filedir'	1	Allowed
25	Incomplete	Path Traversal: '/../filedir'	1	Allowed
26	Draft	Path Traversal: '/dir/../filename'	1	Allowed
27	Draft	Path Traversal: 'dir/../../filename'	1	Allowed
28	Incomplete	Path Traversal: '..\filedir'	1	Allowed
29	Incomplete	Path Traversal: '\..\filename'	1	Allowed
30	Draft	Path Traversal: '\dir\..\filename'	1	Allowed
31	Draft	Path Traversal: 'dir\..\..\filename'	1	Allowed
32	Incomplete	Path Traversal: '...' (Triple Dot)	1	Allowed
33	Incomplete	Path Traversal: '....' (Multiple Dot)	1	Allowed
34	Incomplete	Path Traversal: '....//'	1	Allowed
35	Incomplete	Path Traversal: '.../...//'	1	Allowed
36	Draft	Absolute Path Traversal	1	Allowed
37	Draft	Path Traversal: '/absolute/pathname/here'	1	Allowed
38	Draft	Path Traversal: '\absolute\pathname\here'	1	Allowed
39	Draft	Path Traversal: 'C:dirname'	1	Allowed
40	Draft	Path Traversal: '\\UNC\share\name\' (Windows UNC Share)	1	Allowed
41	Incomplete	Improper Resolution of Path Equivalence	1	Allowed
42	Incomplete	Path Equivalence: 'filename.' (Trailing Dot)	1	Allowed
43	Incomplete	Path Equivalence: 'filename....' (Multiple Trailing Dot)	1	Allowed
44	Incomplete	Path Equivalence: 'file.name' (Internal Dot)	1	Allowed
45	Incomplete	Path Equivalence: 'file...name' (Multiple Internal Dot)	1	Allowed
46	Incomplete	Path Equivalence: 'filename ' (Trailing Space)	1	Allowed
47	Incomplete	Path Equivalence: ' filename' (Leading Space)	1	Allowed
48	Incomplete	Path Equivalence: 'file name' (Internal Whitespace)	1	Allowed
49	Incomplete	Path Equivalence: 'filename/' (Trailing Slash)	1	Allowed
50	Incomplete	Path Equivalence: '//multiple/leading/slash'	1	Allowed
51	Incomplete	Path Equivalence: '/multiple//internal/slash'	1	Allowed
52	Incomplete	Path Equivalence: '/multiple/trailing/slash//'	1	Allowed
53	Incomplete	Path Equivalence: '\multiple\\internal\backslash'	1	Allowed
54	Incomplete	Path Equivalence: 'filedir\' (Trailing Backslash)	1	Allowed
55	Incomplete	Path Equivalence: '/./' (Single Dot Directory)	1	Allowed
56	Incomplete	Path Equivalence: 'filedir*' (Wildcard)	1	Allowed
57	Incomplete	Path Equivalence: 'fakedir/../realdir/filename'	1	Allowed
58	Incomplete	Path Equivalence: Windows 8.3 Filename	1	Allowed
59	Draft	Improper Link Resolution Before File Access ('Link Following')	1	Allowed
61	Incomplete	UNIX Symbolic Link (Symlink) Following	1	Allowed
62	Incomplete	UNIX Hard Link	1	Allowed
64	Incomplete	Windows Shortcut Following (.LNK)	1	Allowed
65	Incomplete	Windows Hard Link	1	Allowed
66	Draft	Improper Handling of File Names that Identify Virtual Resources	1	Allowed
67	Incomplete	Improper Handling of Windows Device Names	1	Allowed
69	Incomplete	Improper Handling of Windows ::DATA Alternate Data Stream	1	Allowed
71	Deprecated	DEPRECATED: Apple '.DS_Store'	1	Prohibited
72	Incomplete	Improper Handling of Apple HFS+ Alternate Data Stream Path	1	Allowed
73	Draft	External Control of File Name or Path	1	Allowed
74	Incomplete	Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')	1	Discouraged
75	Draft	Failure to Sanitize Special Elements into a Different Plane (Special Element Injection)	1	Discouraged
76	Draft	Improper Neutralization of Equivalent Special Elements	1	Allowed
77	Draft	Improper Neutralization of Special Elements used in a Command ('Command Injection')	1	Allowed-with-Review
78	Stable	Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')	1	Allowed
79	Stable	Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')	1	Allowed
80	Incomplete	Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS)	1	Allowed
81	Incomplete	Improper Neutralization of Script in an Error Message Web Page	1	Allowed
82	Incomplete	Improper Neutralization of Script in Attributes of IMG Tags in a Web Page	1	Allowed
83	Draft	Improper Neutralization of Script in Attributes in a Web Page	1	Allowed
84	Draft	Improper Neutralization of Encoded URI Schemes in a Web Page	1	Allowed
85	Draft	Doubled Character XSS Manipulations	1	Allowed
86	Draft	Improper Neutralization of Invalid Characters in Identifiers in Web Pages	1	Allowed
87	Draft	Improper Neutralization of Alternate XSS Syntax	1	Allowed
88	Draft	Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')	1	Allowed
89	Stable	Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')	1	Allowed
90	Draft	Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection')	1	Allowed
